date,O3,NO,NO2,NOXasNO2,site,code
2018-04-27,85.2157,0.49507,1.6887,2.4478,High Muffles,HM
2018-04-28,97.16634,0.46508,0.90967,1.62278,High Muffles,HM
2018-04-29,98.41434,0.43957,0.7779,1.4519,High Muffles,HM
2018-04-30,100.20077,0.50191,0.51673,1.28632,High Muffles,HM
2018-05-01,96.18027,0.68535,4.01285,5.06371,High Muffles,HM
2018-05-02,96.50665,0.61821,3.43017,4.37807,High Muffles,HM
2018-05-03,81.90685,0.45748,3.23477,3.93624,High Muffles,HM
2018-05-04,64.04465,0.72228,4.55785,5.66534,High Muffles,HM
2018-05-05,66.17686,0.74292,4.55321,5.69234,High Muffles,HM
2018-05-06,89.48982,0.57779,6.55958,7.44551,High Muffles,HM
2018-05-07,122.82217,0.54796,10.29508,11.13528,High Muffles,HM
2018-05-08,95.33279,0.87763,12.31674,13.66242,High Muffles,HM
2018-05-09,64.40637,0.81968,4.78062,6.03744,High Muffles,HM
2018-05-10,80.69142,0.4834,2.32808,3.06928,High Muffles,HM
2018-05-11,84.79854,0.6532,6.75891,7.76047,High Muffles,HM
2018-05-12,82.59981,0.63746,7.94773,8.92516,High Muffles,HM
2018-05-13,82.60881,0.66495,4.64872,5.6683,High Muffles,HM
2018-05-14,90.0331,0.407,2.28176,2.90582,High Muffles,HM
2018-05-15,90.03795,0.57424,3.91154,4.79204,High Muffles,HM
2018-05-16,77.78033,0.50061,1.26021,2.0278,High Muffles,HM
2018-05-17,74.40496,0.41008,0.68411,1.31289,High Muffles,HM
2018-05-18,75.09653,0.608,2.7903,3.72255,High Muffles,HM
2018-05-19,83.9476,0.50514,5.20629,5.98082,High Muffles,HM
2018-05-20,81.70867,0.88971,7.05556,8.41977,High Muffles,HM
2018-05-21,110.62207,0.4703,4.61897,5.34008,High Muffles,HM
2018-05-22,105.41177,0.59362,3.02696,3.93717,High Muffles,HM
2018-05-23,105.13251,0.37243,1.94825,2.51931,High Muffles,HM
2018-05-24,91.84863,0.42093,1.67617,2.32159,High Muffles,HM
2018-05-25,88.77054,0.53887,2.61854,3.44479,High Muffles,HM
2018-05-26,105.46997,0.444,2.28423,2.96503,High Muffles,HM
2018-05-27,112.69399,0.33721,2.46928,2.98632,High Muffles,HM
2018-05-28,107.6202,0.45659,2.72845,3.42855,High Muffles,HM
2018-05-29,101.55272,0.51707,1.96122,2.75404,High Muffles,HM
2018-05-30,88.25429,0.46188,2.3421,3.0503,High Muffles,HM
2018-05-31,68.86412,0.70582,5.32228,6.40452,High Muffles,HM
2018-06-01,83.64893,0.58385,3.38444,4.27966,High Muffles,HM
2018-06-02,69.10596,0.69706,6.50464,7.57346,High Muffles,HM
2018-06-03,78.93271,0.58601,3.73373,4.63227,High Muffles,HM
2018-06-04,89.01238,0.45382,1.36689,2.06274,High Muffles,HM
2018-06-05,81.50009,0.45762,0.62563,1.3273,High Muffles,HM
2018-06-06,71.12314,0.34044,0.65361,1.17562,High Muffles,HM
2018-06-07,74.18114,0.43587,0.75985,1.42817,High Muffles,HM
2018-06-08,65.12773,0.44608,0.60152,1.28549,High Muffles,HM
2018-06-09,59.3991,0.43795,1.06176,1.73328,High Muffles,HM
2018-06-10,55.85119,0.60504,3.38544,4.31316,High Muffles,HM
2018-06-11,62.56727,0.83188,5.09209,6.36762,High Muffles,HM
2018-06-12,64.75908,0.51404,1.18985,1.97804,High Muffles,HM
2018-06-13,64.06128,0.73226,3.56065,4.68343,High Muffles,HM
2018-06-14,63.44663,0.70353,2.65136,3.73009,High Muffles,HM
2018-06-15,54.1493,0.57279,2.64415,3.52242,High Muffles,HM
2018-06-16,53.50416,0.652,2.53838,3.5381,High Muffles,HM
2018-06-17,52.2028,0.42008,3.17713,3.82125,High Muffles,HM
2018-06-18,59.90496,0.33469,2.07245,2.58563,High Muffles,HM
2018-06-19,55.64053,0.39594,3.92839,4.5355,High Muffles,HM
2018-06-20,42.89646,0.73599,2.33634,3.46484,High Muffles,HM
2018-06-21,64.19779,0.59723,1.40882,2.32457,High Muffles,HM
2018-06-22,65.46381,0.53297,1.86784,2.68504,High Muffles,HM
2018-06-23,61.38441,0.58237,1.73337,2.62634,High Muffles,HM
2018-06-24,70.67134,0.5457,2.18772,3.02444,High Muffles,HM
2018-06-25,95.87468,0.54032,2.78281,3.61129,High Muffles,HM
2018-06-26,94.59064,0.5695,2.14295,3.01617,High Muffles,HM
2018-06-27,82.87283,0.7577,1.8147,2.97649,High Muffles,HM
2018-06-28,70.68589,0.72333,1.25892,2.36801,High Muffles,HM
